category,denomination,number,percent
National,Congregational,668,20.7
National,Presbyterian,588,18.2
National,Baptist,497,15.4
National,Episcopal,495,15.3
National,Quaker,310,9.6
National,German Reformed,159,4.9
National,Lutheran,150,4.6
National,Dutch Reformed,120,3.7
National,Methodist,65,2.6
National,Roman Catholic,56,1.7
National,Moravian,31,1.0
National,Separatist and Independent,31,1.0
National,Dunker,24,0.7
National,Mennonite,16,0.5
National,Huguenot,7,0.2
National,Sandemanian,6,0.2
National,Jewish,5,0.2
