denomination,ME,NH,VT,MA,RI,CT,NEW_ENGLAND,NY,PA,NJ,DE,MD,MIDDLE_COLONIES,VA,NC,SC,GA,SOUTHERN_COLONIES
Congregationalist,60.9,63.2,65.0,71.6,17.2,64.2,63.0,1.8,0.0,0.4,0.0,0.0,0.3,0.0,0.0,1.2,4.3,0.1
Presbyterian,17.2,21.6,10.0,3.0,1.1,1.3,5.5,15.9,27.9,30.5,37.3,14.2,24.6,22.0,28.5,31.3,13.0,24.9
Baptist,7.8,8.8,10.0,14.3,57.5,9.4,15.3,8.2,4.9,18.3,4.5,2.4,7.6,29.9,25.5,24.7,30.4,28.0
Episcopal,9.4,1.6,10.0,3.7,6.9,17.7,8.4,15.5,6.0,11.5,22.4,26.5,12.9,34.6,14.5,22.9,13.0,27.8
Quaker,3.1,3.2,0.0,4.2,12.6,1.6,3.8,10.9,15.3,15.5,19.4,10.9,14.1,7.1,18.2,4.8,13.0,9.0
German Reformed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,17.6,2.4,0.0,7.6,9.8,1.6,7.2,2.4,0.0,2.8
Lutheran,1.6,0.0,0.0,0.0,0.0,0.0,0.0,8.6,9.7,9.5,1.5,7.1,8.6,1.8,1.8,9.0,21.7,3.8
Dutch Reformed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,8.6,3.2,1.5,0.9,8.9,0.0,0.0,0.0,0.0,0.0
Methodist,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3.2,0.2,6.0,4.5,10.9,3.8,2.0,1.2,0.0,0.0,1.4
Roman Catholic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.9,2.0,9.0,15.6,4.2,0.2,0.0,0.0,0.0,0.1
Moravian,0.0,0.0,0.0,0.0,1.1,0.0,0.0,2.3,2.6,0.8,0.0,9.5,1.8,0.0,3.0,0.0,0.0,0.6
Other,0.0,1.6,5.0,3.0,3.4,5.8,3.6,2.3,5.4,0.0,0.0,2.8,3.1,0.6,0.0,3.6,4.3,1.2
