Voyage ID,Year arrived with captives,Total disembarked (IMP),Total embarked (IMP),Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)",Crew at first landing of captives,Crew at voyage outset,Standardized Tonnage (IMP),Sterling cash price in Jamaica (IMP),Percentage of captives who died during crossing (IMP),Percent women,Outcome of voyage if ship captured,Flag of vessel (IMP),Region where vessel's voyage ended (IMP),Rig of Vessel,Place where vessel's voyage ended,Month purchase of captives began,percent men,Month voyage completed,Region of return,Percent boys,Principal region of captive disembarkation (IMP),Principal region of captive purchase,Month vessel departed Africa,Month voyage began,Place where vessel's voyage began (IMP),Month first disembarkation of captives,Broad region of captive disembarkation (IMP),Percent girls,Particular outcome,Principal place where captives were landed (IMP),Percent children,Percent women,Month departed last place of landing,Outcome of voyage for investors,Outcome of voyage for captives,Principal place where captives were purchased,Resistance,Percent male,Percent female,Broad region where voyage began (IMP),Broad region of captive purchase (IMP),voyage_sources,enslavers
971,1830.0,82.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,US,Spain / Uruguay,Cuba,Goleta,0,0.0,0.0,0.0,0,0.0,Gulf coast,Other Africa,0.0,4.0,Havana,7.0,Mainland North America,0.0,"Captured by United States, slave presence unspecified",New Orleans,0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,Caribbean,Africa,"  National Archives and Records Administration. “Southeast Region.” Atlanta, GA, USA, n.d. National Archives.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  National Archives and Records Administration. “Southeast Region.” Atlanta, GA, USA, n.d. National Archives.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.","Captain: Torre, Francisco de la|Captain: Torre, Pablo de la"
4362,1860.0,507.0,650.0,45.0,132.0,0.0,25.0,337.0,0.0,0.22,0.0,US,U.S.A.,New York,Barque,0,0.0,0.0,0.0,0,0.0,Florida,West Central Africa and St. Helena,3.0,12.0,New York,4.0,Mainland North America,0.0,Captured by United States with slaves,Key West,0.0,0.0,0.0,0,Slaves disembarked in Americas,Congo River,0,0.0,0.0,Mainland North America,Africa,"  “Foreign Office and Foreign and Commonwealth Office Records from 1782.” Kew, UK, n.d. British National Archives. https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/foreign-commonwealth-correspondence-and-records-from-1782/.|  United States Congress. House Executive Documents. Vol. 27–1, 34; 30–2, 671; 35–2, 104; 36–2, 7, n.d.|  Howard, Warren S. American Slaves and Federal Law, 1837-1862. Berkeley, CA, USA: University of California Press, 1963.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  “Foreign Office and Foreign and Commonwealth Office Records from 1782.” Kew, UK, n.d. British National Archives. https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/foreign-commonwealth-correspondence-and-records-from-1782/.|  United States Congress. House Executive Documents. Vol. 27–1, 34; 30–2, 671; 35–2, 104; 36–2, 7, n.d.|  Howard, Warren S. American Slaves and Federal Law, 1837-1862. Berkeley, CA, USA: University of California Press, 1963.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.","Captain: Stanhope, William"
4363,1860.0,411.0,418.0,45.0,0.0,0.0,0.0,300.0,0.0,0.02,0.0,US,France,0,Barque,0,0.0,0.0,0.0,0,0.0,Florida,Bight of Benin,0.0,0.0,0,5.0,Mainland North America,0.0,Captured by United States with slaves,Key West,0.0,0.0,0.0,0,Slaves disembarked in Americas,"Whydah, Ouidah",0,0.0,0.0,0,Africa,"  United States Congress. House Executive Documents. Vol. 27–1, 34; 30–2, 671; 35–2, 104; 36–2, 7, n.d.|  Howard, Warren S. American Slaves and Federal Law, 1837-1862. Berkeley, CA, USA: University of California Press, 1963.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  United States Congress. House Executive Documents. Vol. 27–1, 34; 30–2, 671; 35–2, 104; 36–2, 7, n.d.|  Howard, Warren S. American Slaves and Federal Law, 1837-1862. Berkeley, CA, USA: University of California Press, 1963.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.",nan
4364,1860.0,513.0,744.0,58.0,172.0,0.0,24.0,264.0,0.0,0.31,0.0,US,U.S.A.,Cuba,Barque,0,0.0,0.0,0.0,0,0.0,Florida,West Central Africa and St. Helena,0.0,11.0,Havana,5.0,Mainland North America,0.0,Captured by United States with slaves,Key West,0.0,0.0,0.0,0,Slaves disembarked in Americas,Congo River,0,0.0,0.0,Caribbean,Africa,"  United States Congress. House Executive Documents. Vol. 27–1, 34; 30–2, 671; 35–2, 104; 36–2, 7, n.d.|  Howard, Warren S. American Slaves and Federal Law, 1837-1862. Berkeley, CA, USA: University of California Press, 1963.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  United States Congress. House Executive Documents. Vol. 27–1, 34; 30–2, 671; 35–2, 104; 36–2, 7, n.d.|  Howard, Warren S. American Slaves and Federal Law, 1837-1862. Berkeley, CA, USA: University of California Press, 1963.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.",nan
4974,1858.0,407.0,487.0,47.0,163.0,0.0,15.0,235.0,0.0,0.0,0.0,US,U.S.A.,New York,Schooner,0,0.0,0.0,0.0,0,0.0,Georgia,West Central Africa and St. Helena,10.0,6.0,New York,11.0,Mainland North America,0.0,Captured by United States after slaves disembarked,"Georgia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,Congo River,0,0.0,0.0,Mainland North America,Africa,"  “Papers of Admiralty.” Kew, UK, n.d. British National Archives.|  “Foreign Office and Foreign and Commonwealth Office Records from 1782.” Kew, UK, n.d. British National Archives. https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/foreign-commonwealth-correspondence-and-records-from-1782/.|  Howard, Warren S. American Slaves and Federal Law, 1837-1862. Berkeley, CA, USA: University of California Press, 1963.|  Jordan, Jim. “Charles Augustus Lafayette Lamar and the Movement to Reopen the African Slave Trade.” The Georgia Historical Quarterly, 93, no. 3 (2009): 247–90. https://www.jstor.org/stable/27809120.|  “Logbook of the Yacht ‘Wanderer.’” Atlanta, GA, USA: Emory University, n.d. Mss 172, Special Collections Department. Robert W. Woodruff Library.|  “Papers of Admiralty.” Kew, UK, n.d. British National Archives.|  “Foreign Office and Foreign and Commonwealth Office Records from 1782.” Kew, UK, n.d. British National Archives. https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/foreign-commonwealth-correspondence-and-records-from-1782/.|  Howard, Warren S. American Slaves and Federal Law, 1837-1862. Berkeley, CA, USA: University of California Press, 1963.|  Jordan, Jim. “Charles Augustus Lafayette Lamar and the Movement to Reopen the African Slave Trade.” The Georgia Historical Quarterly, 93, no. 3 (2009): 247–90. https://www.jstor.org/stable/27809120.|  “Logbook of the Yacht ‘Wanderer.’” Atlanta, GA, USA: Emory University, n.d. Mss 172, Special Collections Department. Robert W. Woodruff Library.","Investor: Egea, J|Captain: Corrie, William G.|Captain: Farnum, Charles Egbert|Captain: Brown, Nicholas"
5050,1818.0,95.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,pirate/privateer action,0,Cuba,0,0,0.0,0.0,0.0,0,0.0,Georgia,Other Africa,0.0,7.0,Havana,0.0,Mainland North America,0.0,Captured by pirates or privateers - after embarkation of slaves,"Georgia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,"Africa, port unspecified",0,0.0,0.0,Caribbean,Africa,"  “Junta de Fomento.” Havana, CU, n.d. Archivo Nacional de Cuba.|  Catterall, Helen Tunnicliff, ed. Judicial Cases Concerning American Slavery and the Negro. 5 vols. Washington, D.C., USA: Carnegie institution of Washington, n.d. https://catalog.hathitrust.org/Record/012284162.|  “Junta de Fomento.” Havana, CU, n.d. Archivo Nacional de Cuba.|  Catterall, Helen Tunnicliff, ed. Judicial Cases Concerning American Slavery and the Negro. 5 vols. Washington, D.C., USA: Carnegie institution of Washington, n.d. https://catalog.hathitrust.org/Record/012284162.","Captain: Freire, Francisco|Investor: Mandrazo, Juan|Captain: Moore"
7632,1808.0,307.0,326.0,51.0,0.0,23.0,24.0,178.0,0.0,0.06,0.0,British,U.S.A.,South Carolina,Ship,0,10.0,0.0,0.0,0,0.0,South Carolina,West Central Africa and St. Helena,12.0,7.0,Charleston,3.0,Mainland North America,0.0,"Vice-Admiralty Court, Tortola, restored",Charleston,0.0,0.0,0.0,0,Slaves disembarked in Americas,Congo River,0,0.0,0.0,Mainland North America,Africa,"  Acton, Thomas Harman, and Great Britain. Reports of Cases Argued and Determined before the Most Noble and Right Honorable the Lords Commissioners of Appeals in Prize Causes. London, UK: J. Butterworth and Son, 1812.|  African Institution. Eighth Report of the Directors of the African Institution. Vol. 8. London, UK: Ellerton and Henderson, 1814.|  Catterall, Helen Tunnicliff, ed. Judicial Cases Concerning American Slavery and the Negro. 5 vols. Washington, D.C., USA: Carnegie institution of Washington, n.d. https://catalog.hathitrust.org/Record/012284162.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  Acton, Thomas Harman, and Great Britain. Reports of Cases Argued and Determined before the Most Noble and Right Honorable the Lords Commissioners of Appeals in Prize Causes. London, UK: J. Butterworth and Son, 1812.|  African Institution. Eighth Report of the Directors of the African Institution. Vol. 8. London, UK: Ellerton and Henderson, 1814.|  Catterall, Helen Tunnicliff, ed. Judicial Cases Concerning American Slavery and the Negro. 5 vols. Washington, D.C., USA: Carnegie institution of Washington, n.d. https://catalog.hathitrust.org/Record/012284162.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.","Captain: Boyd, William|Investor: Boyd, William|Captain: Connelly, John|Captain: Connelly, Jeremiah"
9661,1689.0,174.0,251.0,0.0,278.0,0.0,0.0,70.1,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,Maryland,Bight of Biafra and Gulf of Guinea islands,0.0,10.0,London,7.0,Mainland North America,0.0,Sold slaves in Americas - subsequent fate unknown,"Maryland, port unspecified",0.0,0.0,9.0,0,Slaves disembarked in Americas,Calabar,0,0.0,0.0,Europe,Africa,"  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  Walsh, Lorena. “Database of Slave Trading Voyages to Maryland,” n.d.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  Walsh, Lorena. “Database of Slave Trading Voyages to Maryland,” n.d.","Captain: Everard, Thomas|Investor: Everard, Thomas|Investor: Royal African Company"
9835,1688.0,206.0,233.0,0.0,0.0,0.0,0.0,77.7,0.0,0.0,0.0,Not captured,Great Britain,England and Wales,0,0,0.0,0.0,0.0,0,0.0,Virginia,Senegambia and offshore Atlantic,5.0,2.0,London,0.0,Mainland North America,0.0,Voyage completed as intended,"Virginia, port unspecified",0.0,0.0,0.0,0,Slaves disembarked in Americas,Gambia,0,0.90987,0.09013000000000004,Europe,Africa,"  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Royal African Company|Captain: Goodhand, Marmaduke"
9863,1686.0,192.0,217.0,0.0,0.0,0.0,0.0,85.3,0.0,0.0,0.17051,Not captured,Great Britain,England and Wales,0,0,3.0,0.80184,0.0,0,0.01382,Maryland,Senegambia and offshore Atlantic,6.0,1.0,London,8.0,Mainland North America,0.01382,Voyage completed as intended,"Maryland, port unspecified",0.02765,0.17051,0.0,0,Slaves disembarked in Americas,Gambia,0,0.81567,0.18433,Europe,Africa,"  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Donnan, Elizabeth, ed. Documents Illustrative of the History of the Slave Trade to the Americas. Vol. 3. Washington D.C., USA: Carnegie Institution of Washington, 1932. https://babel.hathitrust.org/cgi/pt?id=pst.000018404012&seq=9.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.|  “Company of Royal Adventurers of England Trading with Africa and Successors.” Kew, UK, n.d. British National Archives.","Investor: Royal African Company|Captain: Goodhand, Marmaduke"
